Tematica,Indicador,Titulo,Enlace,Otros
demografia,Tema,Demografía,http://www.gobiernodecanarias.org/istac/estadisticas/demografia/,
demografia,Indicador principal,Población,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=POBLACION#visualization/table,
demografia,Indicadores principales,Población. Edad media,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=POBLACION_EDAD_MEDIA#visualization/table,
demografia,Indicadores principales,Población. Mujeres,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=POBLACION_MUJERES#visualization/table,
demografia,Indicadores principales,Población. Hombres,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=POBLACION_HOMBRES#visualization/table,
demografia,Otros indicadores,Población según sexos y grupos de edad,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:304be2ca-3022-428a-99d0-b28bc4afbb9b&uripub=urn:uuid:253c609d-9d81-4266-986f-13ec9da19b28,Pirámide poblacional
demografia,Otros indicadores,Tasa de natalidad,NA,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=NACIMIENTOS#visualization/table
demografia,Otros indicadores,Tasa de mortalidad,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=TASA_MORTALIDAD#visualization/table,
demografia,Otros indicadores,Crecimiento vegetativo,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:3e369fce-cf23-4cb6-a9fa-10067b627496&uripub=urn:uuid:cc47adbb-2a55-4ddb-84cb-a540a6f34c50,
demografia,Otros indicadores,Índice de dependencia,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:1c818013-8735-4989-baf1-8afd7c62bead&uripub=urn:uuid:98fecf86-426a-4eaf-aff4-ed6e039d2949,
demografia,Otros indicadores,Edad media defunción mujer,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=DEFUNCIONES_EDAD_MEDIA_MUJERES#visualization/table,
demografia,Otros indicadores,Edad media defunción hombre,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=DEFUNCIONES_EDAD_MEDIA_HOMBRES#visualization/table,
demografia,Otros indicadores,Población según sexos y nacionalidades,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:3cd610d7-60f3-4dbc-be89-636bdbde9b16&uripub=urn:uuid:253c609d-9d81-4266-986f-13ec9da19b28,Nacionalidades
demografia,Otros indicadores,Población según sexos y lugares de nacimiento,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:3863be4c-a35d-4523-9ed3-eae5100cae20&uripub=urn:uuid:253c609d-9d81-4266-986f-13ec9da19b28,Lugares de nacimiento
paro_registrado,Tema,Estadística de Movimiento Laboral Registrado,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/collection.html?resourceType=collection&agencyId=ISTAC&resourceId=E59021A_000001,
paro_registrado,Indicador principal,Paro registrado,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=PARO_REGISTRADO#visualization/table,
paro_registrado,Indicadores principales,Paro registrado. Edad media,NA,
paro_registrado,Indicadores principales,Paro registrado. Mujeres,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=PARO_REGISTRADO_MUJERES#visualization/table,
paro_registrado,Indicadores principales,Paro registrado. Hombres,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=PARO_REGISTRADO_HOMBRES#visualization/table,
paro_registrado,Otros indicadores 1,Paro registrado según sexos y grupos de edad,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E59021A_000008&version=~latest#visualization/table,
paro_registrado,Otros indicadores 1,Paro registrado según sexos y sectores económicos,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E59021A_000009&version=~latest#visualization/table,
paro_registrado,Otros indicadores 2,Paro registrado según sexos y niveles de estudios,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E59021A_000013&version=~latest#visualization/table,
afiliacion_residencia,Tema,Estadística de Afiliación a la Seguridad Social según lugar de residencia,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/collection.html?resourceType=collection&agencyId=ISTAC&resourceId=E58015B_000002,
afiliacion_residencia,Indicador principal,"Afiliaciones según situaciones en el empleo, nacionalidades y sexos",https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E58015B_000037&version=~latest#visualization/table,
afiliacion_residencia,Indicadores principales,Afiliaciones a la Seguridad Social. Edad media,NA,
afiliacion_residencia,Indicadores principales,Afiliaciones a la Seguridad Social. Mujeres,NA,
afiliacion_residencia,Indicadores principales,Afiliaciones a la Seguridad Social. Hombres,NA,
afiliacion_residencia,Otros indicadores 1,Afiliaciones según sexos y grupos de edad,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E58015B_000042&version=~latest#visualization/table,
afiliacion_residencia,Otros indicadores 1,"Afiliaciones según situaciones en el empleo, actividad económica y sexos",https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E58015B_000032&version=~latest&multidatasetId=ISTAC:E58015B_000010#visualization/table,
afiliacion_residencia,Otros indicadores 2,"Afiliaciones según situaciones en el empleo, nacionalidades y sexos",https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E58015B_000037&version=~latest#visualization/table,
afiliacion_residencia,Otros indicadores 2,"Afiliaciones según situaciones en el empleo, nacionalidades y sexos",https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E58015B_000037&version=~latest#visualization/table,
afiliacion_cotizacion,Tema,Estadística de Afiliación a la Seguridad Social según lugar de cotización,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/collection.html?resourceType=collection&agencyId=ISTAC&resourceId=E58015B_000001,
afiliacion_cotizacion,Indicador principal,Afiliaciones a la Seguridad Social,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=AFILIACIONES#visualization/table,
afiliacion_cotizacion,Indicadores principales,Afiliaciones a la Seguridad Social. Edad media,NA,
afiliacion_cotizacion,Indicadores principales,Afiliaciones a la Seguridad Social. Mujeres,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=AFILIACIONES_MUJERES#visualization/table,
afiliacion_cotizacion,Indicadores principales,Afiliaciones a la Seguridad Social. Hombres,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=AFILIACIONES_HOMBRES#visualization/table,
afiliacion_cotizacion,Otros indicadores 1,Afiliaciones según sexos y grupos de edad,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E58015B_000015&version=~latest#visualization/table,
afiliacion_cotizacion,Otros indicadores 1,"Afiliaciones según situaciones en el empleo, actividad económica y sexos",https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E58015B_000001&version=~latest&multidatasetId=ISTAC:E58015B_000001#visualization/table,
afiliacion_cotizacion,Otros indicadores 2,"Afiliaciones según situaciones en el empleo, nacionalidades y sexos",https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E58015B_000009&version=~latest#visualization/table,
afiliacion_cotizacion,Otros indicadores 2,"Afiliaciones según situaciones en el empleo, nacionalidades y sexos",https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E58015B_000009&version=~latest#visualization/table,
presupuestos,Tema,Estadística Presupuestaria de las Entidades Locales de Canarias,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/collection.html?resourceType=collection&agencyId=ISTAC&resourceId=E31025B_000001,
presupuestos,Indicador principal,Liquidación del presupuesto consolidado de ingresos y gastos,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E31025B_000001&version=~latest#visualization/table,
presupuestos,Indicadores principales,Presupuesto liquidado. Ingresos por habitante,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=PRESUPUESTO_AYUNTAMIENTOS_LIQUIDADO_INGRESO_HABITANTE#visualization/table,
presupuestos,Indicadores principales,Presupuesto liquidado. Gastos por habitante,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=PRESUPUESTO_AYUNTAMIENTOS_LIQUIDADO_GASTO_HABITANTE#visualization/table,
presupuestos,Otros indicadores 1,Liquidación del presupuesto consolidado de ingresos y gastos según artículos de la estructura económica y fases presupuestarias,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E31025B_000004&version=~latest&multidatasetId=ISTAC:E31025B_000001#visualization/table,
presupuestos,Otros indicadores 2,"Liquidación del presupuesto consolidado de gastos según estructura funcional",https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E31025B_000002&version=~latest#visualization/table,
presupuestos,Otros indicadores 3,Indicadores generales de los presupuestos consolidados ejecutados,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E31025B_000003&version=~latest#visualization/table,
alojamientos_turisticos,Tema,Encuesta de Alojamiento Turístico Colectivo,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/collection.html?resourceType=collection&agencyId=ISTAC&resourceId=C00065A_000001,
alojamientos_turisticos,Indicador principal,Viajeros alojados según nacionalidades,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=C00065A_000036&version=~latest#visualization/table,
alojamientos_turisticos,Indicadores principales,Viajeros alojados según nacionalidades,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=C00065A_000036&version=~latest#visualization/table,
alojamientos_turisticos,Indicadores principales,Tasa de ocupación por plazas,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=ALOJATUR_PLAZAS_OCUPACION#visualization/table,
alojamientos_turisticos,Indicadores principales,Tarifa media diaria (ADR),https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=ALOJATUR_TARIFA_ADR#visualization/table,
alojamientos_turisticos,Ranking,Capacidad y tasas de ocupación en hoteles,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=C00065A_000001&version=~latest#visualization/table,
alojamientos_turisticos,Ranking,Capacidad y tasas de ocupación en apartamentos,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=C00065A_000002&version=~latest#visualization/table,
alojamientos_turisticos,Otros indicadores,Viajeros alojados según nacionalidades,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=C00065A_000036&version=~latest#visualization/table,
alojamientos_turisticos,Otros indicadores,Viajeros alojados según lugares de residencia,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=C00065A_000037&version=~latest#visualization/table,
perfil_turista,Tema,Encuesta sobre el Gasto Turístico,http://www.gobiernodecanarias.org/istac/jaxi-istac/menu.do?uripub=urn:uuid:69b157fd-faf6-4647-ae6c-80f1851458ca,
perfil_turista,Indicador principal,Turistas según grupos de edades y sexos,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:af70dfe5-761e-4152-9150-44eb5b791d12,
perfil_turista,Indicadores principales,Estancia media,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:ebca047d-0dfa-478c-9f51-22f024a3224d,
perfil_turista,Indicadores principales,Turistas. Mujeres,NA,
perfil_turista,Indicadores principales,Turistas. Hombres,NA,
perfil_turista,Ranking,Turistas según grupos de edades y sexos,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:af70dfe5-761e-4152-9150-44eb5b791d12,Grupos de edad
perfil_turista,Ranking,Turistas según el propósito principal del viaje,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:b3db018f-7faa-42cc-831a-6e888cd098ea&uripub=urn:uuid:69b157fd-faf6-4647-ae6c-80f1851458ca,Vacaciones
perfil_turista,Otros indicadores 1,Turistas según sexos por países de residencia,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:af70dfe5-761e-4152-9150-44eb5b791d12,
perfil_turista,Otros indicadores 1,Turistas según nivel educativo,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:cdfb02f6-1cab-4aff-8c90-eb1e9fefe4e9,
perfil_turista,Otros indicadores 1,Turistas según tipos de alojamiento,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:90982f6e-54fb-4884-9643-7a22a027bd89,
perfil_turista,Otros indicadores 2,Turistas según la motivación principal para sus vacaciones,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:02e4c070-5658-4fc3-a004-94119c107895&uripub=urn:uuid:69b157fd-faf6-4647-ae6c-80f1851458ca,
perfil_turista,Otros indicadores 2,Turistas según niveles de ingresos,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:910996fb-2e2f-4d16-86b8-1e9ceb539514,
gastos_medios_turista,Tema,Encuesta sobre el Gasto Turístico,http://www.gobiernodecanarias.org/istac/jaxi-istac/menu.do?uripub=urn:uuid:70b2796b-2f02-435c-9f0a-7588612bb733,
gastos_medios_turista,Indicador principal,Gastos medios según sexos,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:f8bc6e2a-b082-4c72-93f6-81d2c847306f,
gastos_medios_turista,Indicadores principales,Gastos medios. Mujeres,NA,
gastos_medios_turista,Indicadores principales,Gastos medios. Hombres,NA,
gastos_medios_turista,Ranking,Gastos medios según tipos de alojamiento,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:db6d00b1-143f-4010-98bb-05f34f7b034b,Tipos de alojamientos
gastos_medios_turista,Otros indicadores 1,Gastos medios según países de residencia,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:cce945de-a4d1-412c-a8c5-49875db31243,
gastos_medios_turista,Otros indicadores 1,Gastos medios según niveles de ingresos,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:2604207e-c2b6-4b85-ac05-9ba0dd9b6ce4,
gastos_medios_turista,Otros indicadores 2,Gastos medios según grupos de edades,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:f8bc6e2a-b082-4c72-93f6-81d2c847306f,
gastos_medios_turista,Otros indicadores 2,Gastos medios según situación laboral,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:175c51b8-b490-49a8-a934-539ba7ac9595,
gastos_medios_turista,Otros indicadores 3,Gastos medios según nivel educativo,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:82620c58-b532-4cf8-8567-92a962b00a25,
gastos_medios_turista,Otros indicadores 3,Gastos medios por turista del paquete turístico,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:691d144f-4fb5-44d2-9caf-f092df5b40f8,
gastos_medios_turista,Otros indicadores 3,Gastos medios según noches pernoctadas,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:39d02f9a-5b79-43ed-a57b-a158960c67e1,
gastos_medios_turista_dia,Tema,Encuesta sobre el Gasto Turístico,http://www.gobiernodecanarias.org/istac/jaxi-istac/menu.do?uripub=urn:uuid:70b2796b-2f02-435c-9f0a-7588612bb733,
gastos_medios_turista_dia,Indicador principal,Gastos medios según sexos,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:f8bc6e2a-b082-4c72-93f6-81d2c847306f,
gastos_medios_turista_dia,Indicadores principales,Gastos medios. Mujeres,NA,
gastos_medios_turista_dia,Indicadores principales,Gastos medios. Hombres,NA,
gastos_medios_turista_dia,Ranking,Gastos medios según tipos de alojamiento,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:db6d00b1-143f-4010-98bb-05f34f7b034b,Tipos de alojamientos
gastos_medios_turista_dia,Otros indicadores 1,Gastos medios según países de residencia,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:cce945de-a4d1-412c-a8c5-49875db31243,
gastos_medios_turista_dia,Otros indicadores 1,Gastos medios según niveles de ingresos,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:2604207e-c2b6-4b85-ac05-9ba0dd9b6ce4,
gastos_medios_turista_dia,Otros indicadores 2,Gastos medios según grupos de edades,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:f8bc6e2a-b082-4c72-93f6-81d2c847306f,
gastos_medios_turista_dia,Otros indicadores 2,Gastos medios según situación laboral,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:175c51b8-b490-49a8-a934-539ba7ac9595,
gastos_medios_turista_dia,Otros indicadores 3,Gastos medios según nivel educativo,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:82620c58-b532-4cf8-8567-92a962b00a25,
gastos_medios_turista_dia,Otros indicadores 3,Gastos medios según noches pernoctadas,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:39d02f9a-5b79-43ed-a57b-a158960c67e1,
europeas,Tema,Sistema de Información Electoral en Canarias,https://www3.gobiernodecanarias.org/istac/elecciones/#/,
europeas,Participación,Participación electoral en Canarias. Parlamento Europeo,https://www3.gobiernodecanarias.org/istac/elecciones/#/evolucion-electoral/ES70?tipoEleccion=parlamento_europeo,
europeas,Resultados,Resultados de elecciones al Parlamento Europeo,https://www3.gobiernodecanarias.org/istac/elecciones/#/proceso-electoral/ES70/PARLAMENTO_EUROPEO_2019/visualization/table,
congreso,Tema,Sistema de Información Electoral en Canarias,https://www3.gobiernodecanarias.org/istac/elecciones/#/,
congreso,Participación,Participación electoral en Canarias. Congreso,https://www3.gobiernodecanarias.org/istac/elecciones/#/evolucion-electoral/ES70?tipoEleccion=congreso,
congreso,Resultados,Resultados de elecciones al Congreso,https://www3.gobiernodecanarias.org/istac/elecciones/#/proceso-electoral/ES70/CONGRESO_2019_NOVIEMBRE/visualization/table,
senado,Tema,Sistema de Información Electoral en Canarias,https://www3.gobiernodecanarias.org/istac/elecciones/#/,
senado,Participación,Participación electoral en Canarias. Senado,https://www3.gobiernodecanarias.org/istac/elecciones/#/evolucion-electoral/ES70?tipoEleccion=senado,
senado,Resultados,Resultados de elecciones al Senado,https://www3.gobiernodecanarias.org/istac/elecciones/#/proceso-electoral/ES70/SENADO_2019_NOVIEMBRE/visualization/table,
autonomicas,Tema,Sistema de Información Electoral en Canarias,https://www3.gobiernodecanarias.org/istac/elecciones/#/,
autonomicas,Participación,Participación electoral en Canarias. Autonómicas,https://www3.gobiernodecanarias.org/istac/elecciones/#/evolucion-electoral/ES70?tipoEleccion=autonomicas,
autonomicas,Resultados,Resultados de elecciones Autonómicas,https://www3.gobiernodecanarias.org/istac/elecciones/#/proceso-electoral/ES70/AUTONOMICAS_2019_REGIONALES/visualization/table,
cabildo,Tema,Sistema de Información Electoral en Canarias,https://www3.gobiernodecanarias.org/istac/elecciones/#/,
cabildo,Participación,Participación electoral en Canarias. Cabildo,https://www3.gobiernodecanarias.org/istac/elecciones/#/evolucion-electoral/ES70?tipoEleccion=cabildo,
cabildo,Resultados,Resultados de elecciones al Cabildo,https://www3.gobiernodecanarias.org/istac/elecciones/#/proceso-electoral/ES70/CABILDO_2019/visualization/table,
municipales,Tema,Sistema de Información Electoral en Canarias,https://www3.gobiernodecanarias.org/istac/elecciones/#/,
municipales,Participación,Participación electoral en Canarias. Municipales,https://www3.gobiernodecanarias.org/istac/elecciones/#/evolucion-electoral/ES70?tipoEleccion=municipales,
municipales,Resultados,Resultados de elecciones Municipales,https://www3.gobiernodecanarias.org/istac/elecciones/#/proceso-electoral/ES70/MUNICIPALES_2019/visualization/table,
parque_vehiculos,Tema,Transporte terrestre,http://www.gobiernodecanarias.org/istac/estadisticas/sectorservicios/transporte/terrestre/,Transporte terrestre
parque_vehiculos,Indicador principal,Parque de vehículos,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=PARQUE_VEHICULOS#visualization/table,Indicador principal
parque_vehiculos,Indicadores principales,Parque de vehículos. Turismos,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=PARQUE_VEHICULOS_TURISMOS#visualization/table,Turismos
parque_vehiculos,Indicadores principales,Parque de vehículos. Gasolina y diesel,NA,Gasolina + diesel
parque_vehiculos,Indicadores principales,Parque de vehículos. Eléctricos,NA,Eléctricos
parque_vehiculos,Otros indicadores,Parque de vehículos en circulación según tipos de vehículo y tipos de combustible,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:af270e8e-3b4b-4bfd-91ef-71231562bf9e&uripub=urn:uuid:172cc83a-4789-4f72-bf57-a4d0147c0656,Parque
parque_vehiculos,Otros indicadores,Parque de vehículos en circulación según tipos de vehículo y tipos de combustible,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:af270e8e-3b4b-4bfd-91ef-71231562bf9e&uripub=urn:uuid:172cc83a-4789-4f72-bf57-a4d0147c0656,Tipos de combustible
parque_vehiculos,Otros indicadores,Vehículos matriculados según tipos de vehículo,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:a7b9825b-ad07-4610-aa79-0f9fa76afba7&uripub=urn:uuid:dd6e7a1d-8156-4fe7-be7e-e042bbb02873,Matriculaciones
sector_primario,Tema,Sector primario,http://www.gobiernodecanarias.org/istac/estadisticas/sectorprimario/,Sector primario
sector_primario,Indicador principal,Superficie cultivada,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=SUPERFICIE_CULTIVO#visualization/table,Indicador principal
sector_primario,Indicadores principales,Superficie cultivada. Secano,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=SUPERFICIE_CULTIVO_SECANO#visualization/table,Secano
sector_primario,Indicadores principales,Superficie cultivada. Regadío,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=SUPERFICIE_CULTIVO_REGADIO#visualization/table,Regadío
sector_primario,Otros indicadores 1,Superficie de cultivos herbáceos según cultivos y sistemas de cultivo,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:fc6d7c86-8956-4d3b-91f0-50ec367baf57&uripub=urn:uuid:ef5f2e5c-e2c4-4c1d-b5ed-c20fe946ce6f,Cultivos herbáceos
sector_primario,Otros indicadores 1,Superficie en plantación regular y árboles diseminados de cultivos leñosos según cultivos y sistemas de cultivo,http://www.gobiernodecanarias.org/istac/jaxi-istac/tabla.do?uripx=urn:uuid:803af13a-04f6-4789-8e78-48f5fdff64a7&uripub=urn:uuid:ef5f2e5c-e2c4-4c1d-b5ed-c20fe946ce6f,Cultivos leñosos
sector_primario,Otros indicadores 2,Número de explotaciones según especies,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E01008B_000002&version=~latest#visualization/table,Número de explotaciones
sector_primario,Otros indicadores 2,Efectivos de ganado según especies,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E01008B_000001&version=~latest#visualization/table,Número de cabezas/colmenas
sector_primario,Otros indicadores 2,Cabezas de ganado. Bovino,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=GANADO_BOVINO#visualization/table,Bovinos
sector_primario,Otros indicadores 2,Cabezas de ganado. Caprino,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=GANADO_CAPRINO#visualization/table,Caprinos
sector_primario,Otros indicadores 2,Cabezas de ganado. Ovino,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=GANADO_OVINO#visualization/table,Ovinos
sector_primario,Otros indicadores 2,Cabezas de ganado. Porcino,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=indicator&resourceId=GANADO_PORCINO#visualization/table,Porcinos
sector_primario,Otros indicadores 2,Efectivos de ganado apícola según sistemas productivos,https://www3.gobiernodecanarias.org/istac/statistical-visualizer/visualizer/data.html?resourceType=dataset&agencyId=ISTAC&resourceId=E01008B_000010&version=~latest#visualization/table,Colmenas